enrollmentid,personid,calendarid,grade,startdate,enddate,schoolid,calendar_startdate,calendar_enddate,endyear,zip,schoolname,city_x,startyear,label,active,final_enddate,city_y
142553,152240,423,01,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142548,152313,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142561,152369,423,03,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142567,152375,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142564,152376,423,03,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142574,152420,423,KG,2020-09-01,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142577,152429,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142580,152448,423,KG,2020-09-01,2021-06-25,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142583,152457,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142587,152476,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142590,152489,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142589,152491,423,04,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142593,152499,423,04,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142601,152518,423,04,2020-09-02,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
142604,152540,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143113,153967,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143115,153976,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143117,153982,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
143121,153998,423,KG,2020-09-01,,55,2020-09-01,2021-06-25,2021,11208,ba,Brooklyn,2020,20-21,1,2021-06-25,Brooklyn
